master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles	treatmentid
42319	BRD-K26531177	BRD-K26531177	330	probe	outreach		analog of the natural product piperlongumine	Broad Institute of MIT and Harvard		COc1cc(CCC(=O)N2CCC=CC2=O)cc(OC)c1OC	BRD-K26531177
44503	NSC23766	BRD-A80213327	530	probe	pilot-set	RAC1;TIAM1;TRIO	inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1	Cayman	13196	CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1	NSC23766
44511	pyrazolanthrone	BRD-K01567962	66	probe	kinome	MAPK10;MAPK8;MAPK9	inhibitor of Jun N-terminal kinase (JNK) 1/2/3	Selleck	S1460	O=C1c2ccccc2-c2n[nH]c3cccc1c23	pyrazolanthrone
44554	C6-ceramide	BRD-K08608874	66	probe	lit-search	MAPK1;PPP2CA;UGCG	inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A	Sigma-Aldrich	H6524	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCC	C6-ceramide
44580	topotecan	BRD-K55696337	66	FDA	std-of-care	TOP1	inhibitor of topoisomerase I	Selleck	S1231	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O	topotecan
45093	N9-isopropylolomoucine	BRD-K71726959	400	probe	chromatin;kinome;pilot-set	CCNB1;CDK1;CDK5;CDK5R1	inhibitor of CDK1/cyclin B and CDK5/p35 complexes	Enzo Life Sciences	ALX-270-397-M005	CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12	N9-isopropylolomoucine
46792	importazole	BRD-A02481876	200	probe	pilot-set	KPNB1	inhibitor of importin	Vitas-M Laboratory Ltd.;EMD Biosciences	STK171852;401105	CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1	importazole
48589	etoposide	BRD-K37798499	28	FDA	pilot-set;std-of-care	TOP2A	inhibitor of topoisomerase II	Selleck	S1225	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12	etoposide
50131	PRIMA-1	BRD-K15318909	170	probe	pilot-set	TP53	re-activator of the pro-apoptotic activity of mutant p53	Tocris Bioscience	1862	OCC1(CO)N2CCC(CC2)C1=O	PRIMA-1
50134	tanespimycin	BRD-K81473043	33	clinical	pilot-set	HSP90AA1	inhibitor of HSP90	Tocris Bioscience	1515	CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O	tanespimycin
50140	blebbistatin	BRD-A75817871	130	probe	pilot-set	MYH1;MYH2	inhibitor of myosin II ATPases	Cayman	13165	Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1	blebbistatin
50163	cytochalasin B	BRD-K26664453	33	probe	pilot-set		inhibitor of actin polymerization	Sigma-Aldrich	C6762	C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C	cytochalasin B
50715	NSC95397	BRD-K68143200	33	probe	pilot-set	CDC25A;CDC25B;CDC25C	inhibitor of cell division cycle 25 phosphatase (CDC25)	Sigma-Aldrich	N1786	OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O	NSC95397
50727	manumycin A	BRD-K78599730	30	probe	pilot-set	FNTA;FNTB	inhibitor of RAS farnesyltransferase	Sigma-Aldrich	M6418	CCCC[C@@H](C)\C=C(C)\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O	manumycin A
50732	mitomycin	BRD-K59670716	50	FDA	pilot-set;std-of-care		DNA crosslinker	Sigma-Aldrich	M0440	CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O	mitomycin
50737	tacrolimus	BRD-K69608737	74	FDA	pilot-set	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	inhibitor of calcineurin	Selleck	S5003	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC	tacrolimus
50747	pifithrin-alpha	BRD-K66874953	230	probe	pilot-set		inhibitor of p53-dependent signaling	Cayman	13326	Cc1ccc(cc1)C(=O)Cn1c2CCCCc2sc1=N	pifithrin-alpha
50753	SB-431542	BRD-K67298865	66	probe	kinome	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	Selleck	S1067	NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1	SB-431542
50769	staurosporine	BRD-K17953061	3.3	probe	lit-search		inhibitor of multiple kinases	Sigma-Aldrich;LC Laboratories	S4400;S-9300	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13	staurosporine
52123	SB-225002	BRD-K61323504	37	probe	pilot-set	CXCR2	inhibitor of chemokine receptor 2	ChemDiv Inc.	K815-2000	Oc1cc(ccc1NC(=O)Nc1ccccc1Br)[N+]([O-])=O	SB-225002
52133	PD 153035	BRD-K26603252	33	probe	kinome	EGFR	inhibitor of EGFR	Selleck	S1079	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	PD 153035
52430	cerulenin	BRD-K52075040	150	probe	pilot-set	FASN;HMGCS1	inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase	Cayman	10005647	C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O	cerulenin
52576	purmorphamine	BRD-K73397362	150	probe	pilot-set	SMO	activator of smoothened receptor	Tocris Bioscience;Cayman	10009634;10009634	C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12	purmorphamine
52582	GSK-3 inhibitor IX	BRD-K04923131	66	probe	kinome		inhibitor of JAK/STAT signaling	Tocris Bioscience	3194	O\N=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12	GSK-3 inhibitor IX
52882	dasatinib	BRD-K49328571	66	FDA	CTEP;kinome;std-of-care	EPHA2;KIT;LCK;SRC;YES1	inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK	Selleck	S1021	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1	dasatinib
52926	gefitinib	BRD-K64052750	66	FDA	chromatin;CTEP;kinome;std-of-care	AKT1;EGFR	inhibitor of EGFR and AKT1	Selleck	S1025	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	gefitinib
52928	erlotinib	BRD-K70401845	66	FDA	CTEP;kinome;std-of-care	EGFR;ERBB2	inhibitor of EGFR and HER2	Selleck	S1023	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC	erlotinib
53556	BRD-K94991378	BRD-K94991378	83	probe	DOS;outreach		inducer of ROS	Broad Institute of MIT and Harvard		COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c2ccccc2OCCO)[C@H]([C@H](OC3=O)c2ccccc2)c2ccccc2)C(=O)NCC=C)c2cc(ccc12)C#CCC(C(=O)OC)C(=O)OC	BRD-K94991378
53705	BIX-01294	BRD-K26818574	33	probe	chromatin;pilot-set	EHMT2	inhibitor of G9a histone methyltransferase	Broad Institute of MIT and Harvard		COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1	BIX-01294
54200	tacedinaline	BRD-K52313696	33	probe	chromatin;lit-search;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N	tacedinaline
54210	LBH-589	BRD-K02130563	66	clinical	chromatin;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1	LBH-589
55307	IC-87114	BRD-K75430629	66	probe	kinome	PIK3CD	inhibitor of PI3K catalytic subunit delta	Selleck	S1268	Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(C)c2c1=O	IC-87114
55512	ciclosporin	BRD-A38030642	33	FDA	pilot-set	PPID	inhibitor of calcineurin by binding to cyclophilin D	Tocris Bioscience	1101	CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	ciclosporin
56554	vorinostat	BRD-K81418486	33	FDA	chromatin;CTEP;pilot-set;std-of-care	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Toronto Research Chemicals	S688700	ONC(=O)CCCCCCC(=O)Nc1ccccc1	vorinostat
56703	sirolimus	BRD-K84937637	33	FDA	kinome	MTOR	inhibitor of mTOR	Selleck	S1039	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O	sirolimus
58339	KU-55933	BRD-K25311561	66	probe	kinome	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	Selleck	S1092	O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1	KU-55933
58442	sitagliptin	BRD-K19416115	66	FDA	outreach	DPP4	inhibitor of dipetidyl peptidase-4	Selleck	S4002	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F	sitagliptin
58455	AM-580	BRD-K06854232	530	probe	chromatin;pilot-set	RARA	agonist of retinoic acid receptor alpha	Sigma-Aldrich	A8843	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O	AM-580
58472	PDMP	BRD-K05653692	210	probe	pilot-set	UGCG	inhibitor of ceramide glucosyltransferase	Enzo Life Sciences	BML-SL210	CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1	PDMP
58566	BRD-K71935468	BRD-K71935468	83	probe	DOS;outreach		inducer of ROS	Broad Institute of MIT and Harvard		COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c3ccccc3OCCO)[C@@H]([C@@H](OC4=O)c3ccccc3)c3ccccc3)C(=O)N3CCN(CC3)c3ncccn3)c2c1)C(=O)OC	BRD-K71935468
58948	MG-132	BRD-K60230970	20	probe	lit-search	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of the proteosome	Selleck;Broad Institute of MIT and Harvard	S2619	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O	MG-132
60218	entinostat	BRD-K77908580	66	clinical	chromatin;CTEP;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	entinostat
60225	belinostat	BRD-K17743125	66	clinical	chromatin;CTEP	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Selleck	S1085	ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1	belinostat
60679	BEC	BRD-K53792571	270	probe	pilot-set	ARG1;ARG2	inhibitor of arginase I and II	EMD Biosciences	197900	N[C@H](CSCCB(O)O)C(O)=O	BEC
61097	apicidin	BRD-K64606589	33	probe	chromatin;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Fermentek Ltd	Fermentek-AC001	CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O	apicidin
61674	Merck60	BRD-K04466929	33	probe	chromatin;pilot-set	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)-c1cccs1	Merck60
61724	BRD-A94377914	BRD-A94377914	33	probe	chromatin;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		CN1CCCCC1NC(=O)[C@H](CCCCCC(C)=O)C(=O)Nc1nc(cs1)-c1ccccc1	BRD-A94377914
61775	FGIN-1-27	BRD-K09778810	33	probe	pilot-set	TSPO	activator of peripheral benzodiazepine receptor/translocator protein	Tocris Bioscience	0658	CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1	FGIN-1-27
62111	compound 1B	BRD-A42556028	66	probe	chromatin;outreach		screening hit	Enamine Ltd.	T0503-7331	CCN(CC)c1ccc(cc1[N+]([O-])=O)C1=NNC(=O)CC1C	compound 1B
62602	vincristine	BRD-K82109576	130	FDA	std-of-care		inhibitor of mictrotubule assembly	Selleck	S1241	CC[C@]1(O)C[C@@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC	vincristine
62690	cytarabine hydrochloride	BRD-K33106058	66	FDA	std-of-care		inducer of DNA damage	Selleck	S1648	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1	cytarabine hydrochloride
63349	itraconazole	BRD-A34817987	17	FDA	pilot-set		anti-fungal agent; inhibitor of hedgehog signaling pathway	Sigma-Aldrich	I6657	CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O	itraconazole
63578	erastin	BRD-A25004090	66	probe	pilot-set	SLC7A11;VDAC1;VDAC2	modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11	Sigma-Aldrich	E7781	CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1	erastin
96171	ML031	BRD-K38985961	530	probe	pilot-set	S1PR2	inhibitor of sphingosine 1-phosphate receptor 2	Enamine Ltd.	Z19746470	Cc1cc(C(=O)CN2C(=O)CCC2=O)c(C)n1Cc1ccccc1	ML031
100490	CIL56	BRD-K11740178	2.5	probe	pilot-set		screening hit	Columbia University		ON=C1c2cc(ccc2-c2ccc(cc12)S(=O)(=O)N1CCCCC1)S(=O)(=O)N1CCCCC1	CIL56
102193	FQI-1	BRD-A91658086	33	probe	pilot-set		inhibitor of LSF1-mediated transcription	Boston University		CCOc1ccccc1C1CC(=O)Nc2cc3OCOc3cc12	FQI-1
119769	BRD-K92856060	BRD-K92856060	33	probe	DOS;outreach		screening hit	ChemBridge Corporation	7653590	COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12	BRD-K92856060
122255	B02	BRD-K10882151	130	probe	chromatin;pilot-set	RAD51	inhibitor of RAD51	Vitas-M Laboratory Ltd.	STK856883	O=c1n(Cc2ccccc2)c(\C=C\c2cccnc2)nc2ccccc12	B02
142931	BRD-K45681478	BRD-K45681478	66	probe	DOS;outreach		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		ClC1=C(NCC=C)C(=O)c2ccccc2C1=O	BRD-K45681478
153820	ML050	BRD-A83255679	66	probe	pilot-set	GPER1	antagonist of GPR30	Asinex Ltd.	BAS 02002358	Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12	ML050
